,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,clusters
166,40.82704,-73.94907,80,3,2,0.04,1,0,0
167,40.68843,-73.96408,70,2,294,3.47,3,336,2
168,40.6783,-74.00135,165,2,150,1.4,3,342,2
169,40.64524,-74.08088,70,2,166,1.66,1,312,2
170,40.70641,-73.91765,50,2,47,0.94,1,37,0
171,40.83232,-73.93184,40,1,219,2.04,3,353,2
172,40.71045,-73.9677,150,2,193,1.78,1,177,2
173,40.72518,-73.98034,125,1,84,0.78,4,310,2
174,40.70666,-74.01374,196,3,114,1.06,1,0,0
175,40.69098,-73.97113,110,2,213,2.0,2,321,2
176,40.73756,-74.00405,170,3,86,0.8,1,246,2
177,40.81526,-73.94791,165,3,80,0.75,3,231,2
178,40.73423,-74.0046,150,26,38,0.36,1,225,2
179,40.82374,-73.9373,100,2,18,1.79,1,0,0
180,40.68863,-73.97691,65,2,206,1.92,2,0,0
181,40.70382,-73.89797,350,8,10,0.11,5,365,2
182,40.80549,-73.95924,99,4,122,1.18,2,233,2
183,40.71627,-73.9587,200,4,33,0.58,1,1,0
184,40.67994,-73.97863,150,5,52,0.5,1,18,0
185,40.67992,-73.9475,90,3,126,1.17,4,343,2
186,40.67868,-73.97307,120,3,51,0.48,3,250,2
187,40.76834,-73.95334,75,3,199,1.85,1,326,2
188,40.68237,-73.9415,175,26,30,0.29,1,364,2
189,40.74031,-73.99999,125,3,3,0.03,1,0,0
190,40.76307,-73.99665,275,1,41,0.38,1,299,2
191,40.71882,-73.98852,299,2,109,1.04,1,207,2
192,40.6693,-73.98804,135,5,151,1.43,3,162,2
193,40.77333,-73.95199,130,14,0,0.0,2,0,0
194,40.72319,-73.99201,83,1,285,2.69,1,7,0
195,40.74859,-73.99671,123,1,375,3.52,1,328,2
196,40.67252,-73.76597,55,2,52,0.49,2,365,2
197,40.76244,-73.99271,195,5,10,1.01,1,0,0
198,40.69546,-73.93503,80,2,11,0.48,1,0,0
199,40.71722,-73.87856,98,30,33,0.31,5,240,2
200,40.70234,-73.89816,140,7,6,0.06,5,365,2
201,40.71546,-73.87854,265,7,38,0.38,5,365,2
202,40.7195,-73.95976,249,2,358,3.44,2,164,2
203,40.76548,-73.98474,105,6,10,0.09,1,363,2
204,40.80234,-73.95603,200,30,0,0.0,1,365,2
205,40.6787,-73.97262,100,2,226,2.12,3,250,2
206,40.81035,-73.94598,121,1,104,1.0,5,247,2
207,40.83075,-73.93058,45,1,138,1.45,3,323,2
208,40.79958,-73.94275,100,5,204,1.92,1,192,2
209,40.71625,-73.93845,140,2,253,3.04,1,125,0
210,40.6829,-73.93549,71,2,23,0.22,1,91,0
211,40.72773,-73.99134,130,2,115,1.17,1,75,0
212,40.72861,-74.0049,199,5,129,1.22,1,286,2
213,40.70979,-73.95162,69,4,82,1.13,2,60,0
214,40.68656,-73.97525,68,3,37,0.35,1,0,0
215,40.72752,-73.98432,130,1,204,2.04,1,192,2
216,40.729,-73.95829,195,2,69,0.65,1,58,0
217,40.81219,-73.94499,64,1,192,1.84,5,245,2
218,40.77185,-73.90502,140,2,17,0.16,1,292,2
219,40.68926,-73.99386,159,2,222,2.12,1,279,2
220,40.72821,-73.98701,189,3,205,1.96,1,0,0
221,40.7672,-73.98508,250,3,94,0.96,1,3,0
222,40.73012,-73.99053,239,3,7,0.07,1,351,2
223,40.7403,-73.98498,305,2,108,1.09,1,201,2
224,40.80931,-73.94343,155,3,222,2.1,2,232,2
225,40.8251,-73.94287,60,1,458,4.58,2,258,2
226,40.6585,-73.98397,135,2,21,0.26,1,272,2
227,40.76193,-73.9501,120,7,17,0.3,1,341,2
228,40.72052,-73.98589,150,3,41,0.39,1,244,2
229,40.70411,-73.89934,140,14,1,0.01,5,365,2
230,40.73401,-73.95967,135,2,69,0.67,1,12,0
231,40.71756,-73.99503,250,4,18,0.18,2,265,2
232,40.7589,-73.96991,250,30,82,0.78,1,0,0
233,40.72003,-74.00262,500,4,94,0.99,1,329,2
234,40.73194,-73.99474,225,5,10,0.1,1,91,0
235,40.79163,-73.94573,125,28,183,1.83,2,365,2
236,40.8118,-73.94434,92,1,189,1.82,5,253,2
237,40.81583,-73.94707,175,2,1,0.11,1,365,2
238,40.72654,-73.98049,99,2,127,1.22,1,320,2
239,40.80021,-73.96071,195,4,4,0.04,1,0,0
240,40.80942,-73.93936,140,3,135,1.3,3,192,2
241,40.71961,-73.9954,135,2,21,0.2,1,0,0
242,40.74358,-74.00027,500,2,35,0.34,1,348,2
243,40.80335,-73.9575,80,14,10,2.21,2,0,0
244,40.71445,-73.9908,120,4,171,1.8,2,353,2
245,40.75749,-73.96897,110,200,92,0.9,1,140,0
246,40.64446,-73.9503,65,3,238,2.3,1,2,0
247,40.7268,-73.99079,130,50,56,0.58,1,56,0
248,40.688,-73.9171,99,3,111,2.13,1,68,0
249,40.63536,-74.08537,36,2,193,1.85,6,360,2
250,40.63627,-74.08543,37,2,147,1.44,6,0,0
251,40.63518,-74.08546,37,2,177,1.71,6,320,2
252,40.72477,-73.98161,175,3,185,1.78,2,326,2
253,40.74238,-73.99567,205,9,62,0.7,2,76,0
254,40.72945,-73.95511,285,3,124,1.22,3,279,2
255,40.70763,-73.95177,59,2,181,1.77,2,15,0
256,40.63481,-74.08519,36,2,333,3.19,6,340,2
257,40.75384,-73.91433,99,5,441,4.5,1,226,2
258,40.64106,-73.97426,39,1,45,0.46,2,365,2
259,40.66793,-73.98327,60,14,9,0.09,2,0,0
260,40.81309,-73.85514,90,2,0,0.0,7,349,2
261,40.88057,-73.83572,105,2,38,0.5,13,365,2
262,40.68236,-73.94314,135,2,248,2.39,2,11,0
263,40.72185,-73.98246,390,5,143,1.38,2,316,2
264,40.68503,-73.95385,70,3,36,0.41,4,281,2
265,40.86648,-73.9263,75,7,0,0.0,2,323,2
266,40.7069,-73.95467,60,17,14,0.14,4,362,2
267,40.72807,-73.98594,200,3,0,0.0,1,0,0
268,40.6778,-73.94339,100,3,279,2.69,1,301,2
269,40.68317,-73.94701,70,4,18,0.22,4,189,2
270,40.6761,-73.9529,110,6,50,3.55,1,0,0
271,40.67586,-73.95155,60,2,227,2.27,2,287,2
272,40.71702,-73.99811,90,14,1,0.16,1,14,0
273,40.72321,-73.98157,68,2,203,1.96,2,86,0
274,40.77956,-73.98098,115,2,210,2.1,1,261,2
275,40.68276,-73.95264,75,5,64,0.67,1,68,0
276,40.71368,-73.9626,60,3,0,0.0,1,0,0
277,40.72956,-73.98158,129,7,5,0.15,1,231,2
278,40.71069,-73.95175,130,10,49,0.48,1,152,0
279,40.70863,-73.94641,95,4,132,1.27,1,46,0
280,40.82888,-73.94307,75,3,20,0.26,1,364,2
281,40.67319,-73.97323,175,2,11,0.11,1,246,2
282,40.67846,-73.99443,190,3,51,0.57,1,288,2
283,40.6715,-73.94808,49,21,15,0.15,5,331,2
284,40.72681,-73.98534,212,3,67,1.31,1,51,0
285,40.71904,-73.99392,95,1,109,1.11,3,364,2
286,40.71031,-73.9583,140,2,9,0.11,1,254,2
287,40.81322,-73.95306,135,6,187,1.87,1,189,2
288,40.67732,-73.98225,150,2,214,2.08,2,263,2
289,40.68076,-73.9896,190,3,69,0.79,2,258,2
290,40.79603,-73.94903,124,28,22,0.26,1,103,0
291,40.71492,-73.96282,135,30,56,0.56,1,42,0
292,40.80393,-73.95838,122,3,93,0.93,1,246,2
293,40.80082,-73.9652,109,1,104,1.05,2,364,2
294,40.82976,-73.94867,85,30,64,0.68,1,318,2
295,40.683,-73.91981,145,3,127,1.25,2,72,0
296,40.78971,-73.9729,195,11,30,0.32,1,249,2
297,40.67817,-73.99495,250,2,106,1.34,3,272,2
298,40.73119,-73.95578,125,3,6,0.1,1,325,2
299,40.71943,-73.99627,575,2,191,1.88,1,298,3
300,40.78,-73.98249,150,30,48,0.55,1,35,0
301,40.70514,-73.91922,70,5,47,0.49,1,203,2
302,40.86713,-73.92811,90,2,120,1.27,1,132,0
303,40.73198,-73.98881,65,3,52,0.63,1,5,0
304,40.72542,-73.97986,500,2,48,0.48,4,297,2
305,40.83494,-73.93869,250,3,32,0.43,2,276,2
306,40.71659,-73.98945,125,25,43,0.42,1,102,0
307,40.72966,-74.00243,200,30,39,0.44,1,251,2
308,40.72898,-73.95552,229,1,50,0.5,1,188,2
309,40.87207,-73.90193,90,30,4,0.35,2,346,2
310,40.77728,-73.97818,110,13,38,0.39,1,0,0
311,40.72646,-73.95341,59,3,29,0.36,1,15,0
312,40.71015,-73.96101,195,4,59,0.6,1,71,0
313,40.71903,-73.9597,169,1,68,0.67,2,215,2
314,40.80892,-73.93985,113,14,26,0.27,3,253,2
315,40.80276,-73.9567,250,14,31,0.31,1,78,0
316,40.77635,-73.93426,115,2,198,2.01,1,257,2
317,40.72488,-73.95018,55,2,1,0.01,1,0,0
318,40.71398,-73.95763,69,2,220,2.17,2,8,0
319,40.71876,-73.98394,150,3,286,2.81,1,191,2
320,40.66552,-73.99019,169,2,398,3.97,3,182,2
321,40.73749,-73.95292,179,3,36,0.36,28,79,0
322,40.76248,-73.9913,150,3,36,0.36,1,49,0
323,40.68674,-73.98876,135,4,6,0.1,1,0,0
324,40.6848,-73.96219,350,6,14,0.3,1,156,2
325,40.70516,-73.95455,120,14,76,0.76,6,343,2
326,40.72329,-73.98486,71,2,182,1.81,1,200,2
327,40.73776,-73.95327,349,3,8,0.09,28,60,0
328,40.73738,-73.95482,349,3,7,0.07,28,60,0
329,40.67542,-73.98142,165,30,34,0.51,2,189,2
330,40.73842,-73.95312,249,3,2,0.02,28,60,0
331,40.6926,-73.99832,100,3,66,0.68,2,0,0
332,40.69441,-73.99771,200,3,80,0.85,2,106,0
333,40.72399,-73.98374,169,4,240,2.4,1,276,2
334,40.6824,-73.94615,185,3,46,1.07,1,248,2
335,40.68949,-73.91708,65,2,228,2.27,1,194,2
336,40.68819,-73.97258,130,35,5,0.05,1,135,0
337,40.7205,-73.96015,199,30,8,0.11,1,30,0
338,40.72451,-73.98094,225,2,33,0.33,1,0,0
339,40.73813,-73.95394,179,3,13,0.14,28,81,0
340,40.67591,-73.94715,150,5,5,0.05,1,0,0
341,40.72843,-73.98895,139,1,388,3.88,1,142,2
342,40.71271,-73.99776,95,3,223,2.22,2,60,0
343,40.66966,-73.94735,79,15,11,0.11,5,179,2
344,40.71965,-73.98766,150,2,151,1.51,2,52,0
345,40.68613,-73.96536,650,5,0,0.0,3,365,3
346,40.68048,-73.94911,90,3,218,2.26,4,324,2
347,40.68314,-73.93963,120,2,75,0.76,2,237,2
348,40.75961,-73.91117,80,1,42,1.21,2,365,2
349,40.67473,-73.94494,100,90,0,0.0,1,365,2
350,40.69305,-73.93185,175,2,370,3.74,1,204,2
351,40.67174,-73.95663,120,5,104,1.04,1,272,2
352,40.71055,-73.95098,140,7,13,0.13,1,0,0
353,40.69465,-73.95458,200,5,4,0.07,1,9,0
354,40.68413,-73.96542,165,4,11,0.11,3,365,2
355,40.73877,-73.97707,125,4,1,0.01,3,181,2
356,40.74893,-73.99544,130,30,19,0.19,1,189,2
357,40.79406,-73.94102,65,7,131,1.31,2,0,0
358,40.68795,-73.97332,123,30,15,0.15,1,189,2
359,40.85295,-73.93361,67,2,136,1.37,1,296,2
360,40.72413,-73.76133,50,1,43,0.45,1,88,0
361,40.66918,-73.99187,130,7,98,0.99,1,35,0
362,40.71125,-73.95613,100,3,31,0.31,1,0,0
363,40.78558,-73.9696,212,21,45,0.46,1,35,0
364,40.71577,-73.96053,190,3,124,1.76,1,359,2
365,40.73861,-73.95485,599,3,9,0.09,28,60,3
366,40.72577,-73.98745,249,5,166,1.68,2,365,2
367,40.58615,-73.81245,70,27,13,0.13,1,335,2
368,40.67086,-73.94872,100,30,15,0.16,5,282,2
369,40.82773,-73.95231,60,3,380,3.83,2,247,2
370,40.68505,-73.95684,135,2,86,0.87,1,102,0
371,40.72911,-73.95493,175,3,248,2.53,3,274,2
372,40.77944,-73.98567,120,5,49,0.56,1,201,2
373,40.74503,-73.98876,169,18,54,0.57,1,98,0
374,40.67539,-73.96093,165,7,3,0.03,1,157,2
375,40.8054,-73.95189,90,1,1,0.02,1,0,0
376,40.78491,-73.9508,225,2,56,0.57,1,312,2
377,40.69088,-73.97307,95,2,163,1.66,2,331,2
378,40.67555,-73.95057,55,2,247,2.51,2,275,2
379,40.75835,-73.99193,85,10,116,1.17,1,174,2
380,40.66527,-73.9886,199,14,27,0.28,2,223,2
381,40.71895,-73.99434,211,1,52,0.6,3,361,2
382,40.75579,-73.96699,145,6,39,0.4,1,0,0
383,40.82399,-73.95328,65,14,35,0.35,1,283,2
384,40.81822,-73.94095,99,1,320,3.23,1,220,2
385,40.76434,-73.92132,110,4,30,0.32,1,363,2
386,40.67705,-73.94925,80,3,225,2.27,4,315,2
387,40.69263,-73.99438,150,30,95,0.96,1,281,2
388,40.68448,-73.92747,110,4,70,0.75,1,283,2
389,40.74412,-74.00208,290,2,35,0.36,1,20,0
390,40.73067,-73.98702,87,2,0,0.0,1,0,0
391,40.70665,-73.94061,190,4,50,0.51,1,331,2
392,40.72063,-73.95952,200,2,29,0.31,1,36,0
393,40.67644,-73.98082,165,2,23,0.23,2,7,0
394,40.80481,-73.94794,110,2,142,1.44,2,301,2
395,40.72533,-73.99143,395,2,70,0.73,1,170,2
396,40.68569,-73.93038,99,2,38,0.54,2,307,2
397,40.64302,-73.97255,39,1,82,0.94,2,365,2
398,40.72939,-73.98857,189,2,403,4.1,3,201,2
399,40.79918,-73.96607,85,1,3,0.03,1,0,0
400,40.66862,-73.9926,260,30,3,0.03,1,316,2
401,40.81333,-73.94453,122,1,116,1.18,5,271,2
402,40.72473,-73.95199,165,2,175,1.79,1,139,0
403,40.70925,-73.85262,97,3,28,1.21,3,209,2
404,40.73215,-74.00922,170,4,24,0.25,1,0,0
405,40.71109,-73.94332,125,2,15,0.15,1,0,0
406,40.7463,-73.97926,130,4,105,1.07,1,193,2
407,40.71823,-73.95849,225,10,22,0.38,1,52,0
408,40.651,-73.94886,50,2,263,2.69,2,136,0
409,40.68626,-73.97598,170,3,86,0.91,2,286,2
410,40.74488,-74.001,132,4,10,0.1,1,0,0
411,40.67632,-73.97616,250,7,18,0.21,1,18,0
412,40.72212,-73.94254,141,5,8,0.21,1,9,0
413,40.67456,-73.95151,64,20,70,0.73,1,3,0
414,40.71363,-73.96019,249,3,150,1.55,1,277,2
415,40.6755,-73.95878,79,2,115,1.18,1,0,0
416,40.72274,-73.97581,185,2,69,0.71,1,233,2
417,40.6858,-73.9828,120,3,232,2.41,1,221,2
418,40.67535,-73.97654,495,1,35,0.41,1,355,2
419,40.72255,-73.99346,375,3,18,0.21,1,0,0
420,40.72094,-73.99706,175,3,68,0.69,1,277,2
421,40.72485,-73.97813,150,4,22,0.23,1,0,0
422,40.80473,-73.9532,259,8,17,0.17,1,343,2
423,40.72217,-73.98419,96,1,34,0.58,1,0,0
424,40.71943,-73.9565,145,7,8,0.08,1,0,0
425,40.74249,-74.00329,200,4,0,0.0,1,0,0
426,40.79264,-73.97294,95,5,2,0.08,1,0,0
427,40.65749,-73.97675,250,4,52,0.72,1,188,2
428,40.80474,-73.94688,295,2,74,0.76,2,264,2
429,40.72831,-74.00177,175,3,18,0.19,1,0,0
430,40.71541,-73.94144,451,2,72,0.86,1,331,2
431,40.79765,-73.96245,165,2,191,2.18,1,236,2
432,40.78508,-73.95332,250,4,0,0.0,1,0,0
433,40.89747,-73.8639,77,1,197,2.49,1,309,2
434,40.72008,-73.98404,250,4,19,0.2,1,0,0
435,40.75725,-73.91098,129,1,414,4.34,1,245,2
436,40.7102,-73.94495,98,2,8,0.09,4,0,0
437,40.67359,-73.97904,150,2,0,0.0,1,8,0
438,40.72674,-73.9782,95,7,25,0.3,1,359,2
439,40.81156,-73.94571,55,3,119,1.22,5,333,2
440,40.80497,-73.95016,300,2,203,2.14,3,258,2
441,40.7385,-73.91806,42,40,53,0.55,3,236,2
442,40.72937,-73.95671,125,2,104,1.09,1,22,0
443,40.72587,-73.98438,175,3,175,1.8,1,236,2
444,40.82426,-73.9463,75,3,38,0.42,3,365,2
445,40.71624,-73.96272,255,45,39,0.5,1,89,0
446,40.68101,-73.94081,72,31,88,0.91,1,164,2
447,40.68669,-73.91989,165,1,27,0.28,4,311,2
448,40.71534,-73.95914,165,5,117,1.28,1,23,0
449,40.68288,-73.96024,75,3,43,0.44,2,365,2
450,40.72489,-73.95494,130,5,4,0.05,1,0,0
451,40.70867,-73.94284,139,2,385,4.0,1,222,2
452,40.67963,-73.93908,88,1,64,0.68,3,238,2
453,40.6798,-73.93908,80,1,39,0.41,3,218,2
454,40.74346,-73.99882,150,2,37,1.79,1,0,0
455,40.77724,-73.98109,200,3,10,0.12,1,0,0
456,40.72972,-73.97995,200,2,103,1.08,1,235,2
457,40.74102,-73.91681,42,40,41,0.43,3,246,2
458,40.71309,-73.94128,90,6,3,0.03,1,0,0
459,40.83096,-73.94633,295,3,227,2.33,1,247,2
460,40.71323,-73.95745,450,5,37,0.79,1,15,0
461,40.67212,-73.9506,130,2,29,0.35,1,119,0
462,40.71023,-73.96665,89,3,205,2.31,3,0,0
463,40.80523,-73.95139,198,5,42,0.44,2,234,2
464,40.72636,-73.98917,99,2,280,2.92,3,257,2
465,40.72185,-73.93956,46,4,86,0.89,3,350,2
466,40.72351,-73.99683,140,2,54,0.56,1,221,2
467,40.6809,-73.99233,500,7,7,0.07,1,0,0
468,40.80525,-73.95916,75,5,57,0.59,2,201,2
469,40.74,-73.91901,33,44,31,0.32,3,161,0
470,40.80006,-73.96049,250,31,188,1.94,1,259,2
471,40.70283,-73.92131,60,3,480,6.7,1,0,0
472,40.84468,-73.94303,75,2,34,0.35,1,222,2
473,40.68252,-73.99619,350,5,6,0.06,1,0,0
474,40.74342,-73.99483,205,9,3,0.04,2,76,0
475,40.67853,-73.98089,219,5,2,0.03,1,0,0
476,40.6788,-73.97643,60,1,20,0.21,6,258,2
477,40.77886,-73.98042,185,2,129,1.33,1,14,0
478,40.72578,-73.97879,190,3,147,1.6,1,27,0
